DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
PK201700000040,PK,2017.00000000000,40.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.28390287160,72.37674012110,9999.00000000000,9999.00000000000,WGS84
PK201700000041,PK,2017.00000000000,41.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.18603646870,72.39792752230,9999.00000000000,9999.00000000000,WGS84
PK201700000042,PK,2017.00000000000,42.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.12778854670,72.47573851600,9999.00000000000,9999.00000000000,WGS84
PK201700000043,PK,2017.00000000000,43.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.11726979630,72.50356444270,9999.00000000000,9999.00000000000,WGS84
PK201700000044,PK,2017.00000000000,44.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.13426464680,71.69080711960,9999.00000000000,9999.00000000000,WGS84
PK201700000045,PK,2017.00000000000,45.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.30320102580,71.61185368870,9999.00000000000,9999.00000000000,WGS84
PK201700000046,PK,2017.00000000000,46.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.16549291770,71.75988500940,9999.00000000000,9999.00000000000,WGS84
PK201700000047,PK,2017.00000000000,47.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.19271215010,71.76380714870,9999.00000000000,9999.00000000000,WGS84
PK201700000048,PK,2017.00000000000,48.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.10337844980,71.60190875750,9999.00000000000,9999.00000000000,WGS84
PK201700000049,PK,2017.00000000000,49.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,33.95832542710,71.61468434030,9999.00000000000,9999.00000000000,WGS84
PK201700000050,PK,2017.00000000000,50.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,33.94530364200,71.68657377390,9999.00000000000,9999.00000000000,WGS84
PK201700000051,PK,2017.00000000000,51.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,33.99037304760,71.53758396820,9999.00000000000,9999.00000000000,WGS84
PK201700000052,PK,2017.00000000000,52.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.01137399150,71.52122732760,9999.00000000000,9999.00000000000,WGS84
PK201700000053,PK,2017.00000000000,53.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.00861424290,71.52886806180,9999.00000000000,9999.00000000000,WGS84
PK201700000054,PK,2017.00000000000,54.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.01002624720,71.53537682950,9999.00000000000,9999.00000000000,WGS84
PK201700000055,PK,2017.00000000000,55.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.00079674370,71.53394758170,9999.00000000000,9999.00000000000,WGS84
PK201700000056,PK,2017.00000000000,56.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.00045572530,71.57773137530,9999.00000000000,9999.00000000000,WGS84
